Name;Measure;Geo Type Name;Geo Place Name;Time Period
Nitrogen dioxide (NO2);Mean;CD;Jamaica and Hollis (CD12);Summer 2014
Nitrogen dioxide (NO2);Mean;UHF42;Greenpoint;Summer 2014
Nitrogen dioxide (NO2);Mean;UHF42;Greenpoint;Winter 2018-19
Nitrogen dioxide (NO2);Mean;UHF42;Greenpoint;Annual Average 2020
Nitrogen dioxide (NO2);Mean;UHF42;Kingsbridge - Riverdale;Annual Average 2011
Nitrogen dioxide (NO2);Mean;UHF34;Southern SI;Annual Average 2011
Nitrogen dioxide (NO2);Mean;UHF42;Bedford Stuyvesant - Crown Heights;Winter 2014-15
Nitrogen dioxide (NO2);Mean;UHF42;Sunset Park;Summer 2009
Nitrogen dioxide (NO2);Mean;UHF42;Fordham - Bronx Pk;Annual Average 2021
Nitrogen dioxide (NO2);Mean;UHF42;Crotona -Tremont;Winter 2014-15
Nitrogen dioxide (NO2);Mean;UHF42;Bedford Stuyvesant - Crown Heights;Summer 2018
Nitrogen dioxide (NO2);Mean;UHF42;Bedford Stuyvesant - Crown Heights;Summer 2017
Nitrogen dioxide (NO2);Mean;UHF42;Sunset Park;Winter 2011-12
Nitrogen dioxide (NO2);Mean;CD;Clinton and Chelsea (CD4);Annual Average 2021
Nitrogen dioxide (NO2);Mean;CD;Stuyvesant Town and Turtle Bay (CD6);Annual Average 2021
Nitrogen dioxide (NO2);Mean;CD;Belmont and East Tremont (CD6);Winter 2010-11
Nitrogen dioxide (NO2);Mean;UHF34;Southern SI;Winter 2009-10
Nitrogen dioxide (NO2);Mean;UHF42;Sunset Park;Winter 2016-17
Nitrogen dioxide (NO2);Mean;UHF42;Sunset Park;Summer 2020
Nitrogen dioxide (NO2);Mean;UHF42;Fordham - Bronx Pk;Winter 2011-12
Nitrogen dioxide (NO2);Mean;UHF42;Flushing - Clearview;Summer 2017
Nitrogen dioxide (NO2);Mean;CD;Belmont and East Tremont (CD6);Summer 2009
Nitrogen dioxide (NO2);Mean;CD;Stuyvesant Town and Turtle Bay (CD6);Annual Average 2015
Nitrogen dioxide (NO2);Mean;CD;Stuyvesant Town and Turtle Bay (CD6);Annual Average 2020
Nitrogen dioxide (NO2);Mean;CD;Riverdale and Fieldston (CD8);Annual Average 2020
Nitrogen dioxide (NO2);Mean;UHF42;Sunset Park;Annual Average 2020
Nitrogen dioxide (NO2);Mean;UHF42;Fordham - Bronx Pk;Annual Average 2020
Nitrogen dioxide (NO2);Mean;UHF42;Crotona -Tremont;Annual Average 2020
Nitrogen dioxide (NO2);Mean;UHF42;Flushing - Clearview;Annual Average 2020
Nitrogen dioxide (NO2);Mean;UHF42;Upper East Side;Summer 2014
Nitrogen dioxide (NO2);Mean;UHF34;Southern SI;Winter 2010-11
Nitrogen dioxide (NO2);Mean;CD;Clinton and Chelsea (CD4);Summer 2017
Nitrogen dioxide (NO2);Mean;CD;Belmont and East Tremont (CD6);Winter 2009-10
Nitrogen dioxide (NO2);Mean;CD;Belmont and East Tremont (CD6);Winter 2011-12
Nitrogen dioxide (NO2);Mean;CD;Belmont and East Tremont (CD6);Summer 2020
Nitrogen dioxide (NO2);Mean;UHF42;East Harlem;Winter 2010-11
Nitrogen dioxide (NO2);Mean;UHF42;East Harlem;Summer 2009
Nitrogen dioxide (NO2);Mean;UHF42;East Harlem;Annual Average 2021
Nitrogen dioxide (NO2);Mean;UHF34;East Flatbush - Flatbush;Annual Average 2009
Nitrogen dioxide (NO2);Mean;UHF34;East Flatbush - Flatbush;Annual Average 2011
Nitrogen dioxide (NO2);Mean;UHF34;East Flatbush - Flatbush;Annual Average 2015
Nitrogen dioxide (NO2);Mean;UHF34;East Flatbush - Flatbush;Annual Average 2020
Nitrogen dioxide (NO2);Mean;UHF42;Downtown - Heights - Slope;Annual Average 2021
Nitrogen dioxide (NO2);Mean;UHF42;Fresh Meadows;Summer 2009
Nitrogen dioxide (NO2);Mean;UHF42;Fresh Meadows;Winter 2010-11
Nitrogen dioxide (NO2);Mean;UHF42;Fresh Meadows;Annual Average 2013
Nitrogen dioxide (NO2);Mean;CD;Fordham and University Heights (CD5);Annual Average 2017
Nitrogen dioxide (NO2);Mean;CD;Midtown (CD5);Annual Average 2021
Nitrogen dioxide (NO2);Mean;UHF34;East Flatbush - Flatbush;Winter 2009-10
Nitrogen dioxide (NO2);Mean;UHF34;East Flatbush - Flatbush;Summer 2017
Nitrogen dioxide (NO2);Mean;UHF34;East Flatbush - Flatbush;Summer 2018
Nitrogen dioxide (NO2);Mean;UHF34;East Flatbush - Flatbush;Summer 2020
Nitrogen dioxide (NO2);Mean;UHF34;Southwest Queens;Summer 2017
Nitrogen dioxide (NO2);Mean;UHF42;Northeast Bronx;Summer 2017
Nitrogen dioxide (NO2);Mean;UHF42;Northeast Bronx;Summer 2018
Nitrogen dioxide (NO2);Mean;UHF42;Central Harlem - Morningside Heights;Winter 2011-12
